index,value
"(13, 43)",32000.0
"(13, 44)",33000.0
"(13, 45)",114300.0
"(13, 46)",116500.0
"(13, 47)",176300.0
"(13, 48)",99400.0
"(13, 49)",51000.0
"(13, 50)",64600.0
"(13, 51)",66300.0
"(13, 52)",9600.0
"(13, 53)",22100.0
"(13, 54)",18300.0
"(13, 55)",18400.0
"(13, 56)",18500.0
"(13, 57)",28000.0
"(13, 58)",1400.0
"(14, 12)",28500.0
"(14, 20)",27500.0
"(14, 22)",10500.0
"(14, 24)",25500.0
"(14, 28)",25500.0
"(14, 34)",12500.0
"(14, 35)",133000.0
"(14, 41)",2200.0
"(14, 42)",9600.0
"(14, 43)",204400.0
"(14, 45)",41900.0
"(14, 47)",50000.0
"(14, 48)",16900.0
"(14, 49)",11400.0
"(14, 50)",13800.0
"(14, 51)",9200.0
"(14, 53)",3200.0
"(14, 55)",9300.0
"(14, 57)",13000.0
"(15, 20)",11500.0
"(15, 22)",4400.0
"(15, 24)",8300.0
"(15, 37)",28000.0
"(15, 40)",2600.0
"(15, 41)",23000.0
"(15, 42)",31700.0
"(15, 44)",22000.0
"(15, 45)",54000.0
"(15, 47)",18000.0
"(15, 49)",6900.0
"(15, 50)",7500.0
"(15, 51)",4200.0
"(15, 53)",4200.0
"(16, 35)",19500.0
"(16, 36)",22000.0
"(16, 39)",24000.0
"(16, 40)",5000.0
"(16, 42)",14500.0
"(16, 45)",21100.0
"(16, 46)",17000.0
"(17, 37)",23000.0
"(17, 39)",12000.0
"(17, 41)",12000.0
"(17, 42)",167500.0
"(17, 44)",6800.0
"(17, 45)",25500.0
"(18, 34)",12500.0
"(19, 35)",118000.0
"(19, 37)",16000.0
"(19, 41)",169500.0
"(20, 36)",2300.0
"(20, 42)",25000.0
"(21, 28)",2300.0
"(21, 34)",9100.0
"(21, 37)",15500.0
"(22, 31)",5400.0
"(22, 35)",24000.0
"(22, 36)",0.0
"(22, 39)",7300.0
"(22, 41)",186600.0
"(23, 35)",105500.0
"(23, 41)",100.0
"(24, 34)",2800.0
"(24, 38)",17500.0
"(25, 37)",23000.0
"(25, 42)",232000.0
"(26, 36)",68500.0
