index,value,row,col
"(15, 52)",547,15,52
"(16, 37)",1488,16,37
"(16, 39)",2067,16,39
"(16, 41)",3724,16,41
"(16, 45)",397,16,45
"(16, 46)",946,16,46
"(16, 47)",598,16,47
"(16, 49)",308,16,49
"(17, 6)",0,17,6
"(17, 13)",0,17,13
"(17, 18)",0,17,18
"(17, 22)",0,17,22
"(17, 43)",22,17,43
"(17, 52)",2018,17,52
"(18, 36)",6939,18,36
"(18, 39)",1682,18,39
"(18, 41)",1345,18,41
"(18, 57)",527,18,57
"(19, 10)",0,19,10
"(19, 28)",0,19,28
"(19, 34)",17,19,34
"(19, 38)",338,19,38
"(19, 40)",179,19,40
"(20, 13)",0,20,13
"(20, 41)",109,20,41
"(21, 7)",0,21,7
"(21, 16)",0,21,16
"(21, 44)",0,21,44
"(21, 50)",692,21,50
"(22, 10)",0,22,10
"(22, 38)",0,22,38
"(22, 40)",0,22,40
"(23, 28)",0,23,28
"(23, 36)",746,23,36
"(24, 9)",0,24,9
"(25, 34)",972,25,34
