lon,lat,amount
-111.8897629,40.76287079,1
-111.890985,40.7659093,1
-111.8620911,40.72263336,1
-111.8654327,40.71583176,1
-111.916924,40.746319,1
-111.8739014,40.74978256,1
-111.8837747,40.7595925,1
-111.881897,40.76055908,1
-111.8837046,40.758398,1
-111.922435,40.7624161,1
-111.9482543,40.8162997,1
-111.9850464,40.74227524,1
-111.857124,40.7232029,1
-111.8154373,40.75099182,1
-111.97079,40.663886,1
