OBJECTID,YEAR2040,SHAPE_Area,lon,lat
6816,308,595620.5081,-111.8817521,40.78289508
6817,1085,476357.8529,-111.8828851,40.77511944
6818,275,331173.5609,-111.8805542,40.77794879
6819,918,417666.4602,-111.8753189,40.7745432
6820,969,443514.412,-111.8676406,40.77467809
6821,836,453560.1097,-111.8610826,40.77166257
6822,110,1278588.879,-111.8593001,40.77729156
6823,977,1391604.165,-111.8479392,40.77314153
6824,752,435415.4948,-111.8551842,40.77167074
6825,999,427675.4545,-111.8753194,40.7710997
6826,263,101626.8498,-111.8782244,40.76827073
6827,1241,425951.4205,-111.8678293,40.77109764
6828,431,203359.931,-111.8739328,40.76827148
6829,503,101600.6407,-111.8782225,40.76609778
6830,1030,101613.2454,-111.8782198,40.76174788
6831,604,101764.7874,-111.8782213,40.76392312
6832,1184,203381.1457,-111.8739307,40.7617493
6833,2388,611469.9108,-111.8667702,40.76718529
6834,1170,305853.1437,-111.8667704,40.76175146
6835,798,407355.6161,-111.8596037,40.76718684
6836,747,311472.9923,-111.854548,40.7671872
6837,949,407303.7111,-111.8596062,40.7628406
6838,1015,306105.9293,-111.8667703,40.7639257
6839,732,311808.516,-111.8545517,40.76284044
6840,0,2759242.158,-111.8440132,40.76352946
6841,350,101662.0889,-111.8782192,40.75957465
6842,54,203171.5306,-111.8739301,40.75957687
6843,342,101529.1057,-111.8782188,40.75740208
6844,465,203479.4164,-111.8739301,40.7574037
6845,956,305445.2936,-111.8753592,40.75522761
6846,1052,203443.1585,-111.881073,40.75196158
6847,606,203196.7109,-111.8782158,40.75196368
6848,1006,406536.1242,-111.8739285,40.75196618
6849,696,300874.3981,-111.8668376,40.75957157
6850,993,302631.5691,-111.8668127,40.75740208
6851,1596,611179.0376,-111.8682066,40.75305712
6852,818,618865.9085,-111.8624431,40.75304696
6853,1303,359058.7573,-111.8574226,40.75959797
6854,914,312574.7534,-111.8582895,40.75743229
6855,825,602036.2866,-111.8567219,40.75307518
6856,825,1044961.108,-111.8495011,40.75474525
6857,2037,3174358.241,-111.8342052,40.7692011
6858,0,1002038.707,-111.8412249,40.75497863
6859,1361,483325.7105,-111.8352923,40.75267982
6860,1215,355543.9536,-111.9039847,40.74847796
6861,769,178646.6041,-111.8972595,40.74871693
6862,9,424233.7262,-111.9018995,40.74454548
6863,108,273315.1581,-111.898241,40.74453686
6864,1201,311107.1483,-111.8953042,40.74497974
6865,158,151385.4162,-111.8925199,40.74323345
6866,1527,231296.943,-111.8925225,40.74731251
6867,818,381989.3667,-111.8896573,40.74570181
6868,1559,757791.5267,-111.8796349,40.73757197
6869,1342,762502.1149,-111.879641,40.74570869
6870,1183,758258.84,-111.8739244,40.73757366
6871,0,762799.2109,-111.873927,40.74571267
6872,1199,760817.9921,-111.8682051,40.73757446
6873,1425,764383.9814,-111.868206,40.74571589
6874,1343,771154.0994,-111.8624526,40.74573151
6875,584,461748.9298,-111.8567226,40.74729361
6876,1269,759858.7957,-111.8567597,40.73757714
6877,456,293778.6247,-111.8567493,40.74321687
6878,682,634917.5387,-111.8507699,40.74832617
6879,445,342527.3292,-111.8508186,40.74341282
6880,1244,827751.2117,-111.8393122,40.74608985
6881,352,301629.9012,-111.8452223,40.74856853
6882,1261,977340.5799,-111.8331451,40.74583308
6883,1074,1299261.092,-111.8194361,40.73851248
6884,1923,1473051.491,-111.8077534,40.74652816
6885,99,372720.476,-111.8982619,40.7375791
6886,1643,384908.637,-111.8954032,40.73755111
6887,1224,788892.519,-111.8509351,40.73758144
6888,1101,758101.2897,-111.8451203,40.73757601
6889,1076,914920.6,-111.8269877,40.7369377
6892,1770,380450.7694,-111.8925159,40.73756643
6893,1102,379944.4402,-111.892513,40.72947138
6894,1405,753498.3454,-111.8796333,40.7294779
6895,1442,752017.5338,-111.8739325,40.72947736
6896,492,449196.3777,-111.8568631,40.73109681
6897,1547,306956.3482,-111.8566069,40.7270824
6898,1181,753176.9612,-111.8509778,40.72961652
6899,1155,733809.3877,-111.8451054,40.72957988
6900,1186,760768.1779,-111.8394037,40.72955087
6901,1019,758244.669,-111.8336573,40.72955143
6902,1197,756912.8739,-111.8279303,40.72953859
6903,316,432311.7178,-111.8127834,40.73433694
6904,1109,962497.8843,-111.8211215,40.72925428
6905,1923,648288.9789,-111.8177858,40.72369434
6906,644,941784.1464,-111.8088644,40.72139811
6910,1780,531146.9487,-111.8954105,40.72793278
6919,645,297639.6053,-111.8739474,40.72383778
6920,2050,291158.7352,-111.8621657,40.72388887
6921,828,196153.8718,-111.8566739,40.72436612
6922,1194,346789.6589,-111.87407,40.72038171
6923,979,276674.7538,-111.868365,40.72071986
6924,396,338823.3051,-111.8618917,40.72102278
6925,1376,259395.0971,-111.8560302,40.72163691
6926,13,1171324.831,-111.847808,40.72264221
6927,1299,1340695.893,-111.8364681,40.72181586
6928,1753,3347633.762,-111.8215616,40.71798377
6937,883,545204.0416,-111.8739783,40.71558933
6939,1,374888.7607,-111.874036,40.71057567
6995,499,296885.047,-111.8550874,40.71670284
6996,1699,1308825.63,-111.8480443,40.71614939
6998,2743,622313.4599,-111.868227,40.71597848
6999,416,349459.0315,-111.8668893,40.70896413
7000,922,667467.5564,-111.8626527,40.70911423
7002,1400,664355.4715,-111.8568465,40.70880459
7003,1904,981751.0254,-111.8600986,40.70264238
7004,1688,1130050.312,-111.8489581,40.70954799
7005,911,689953.9045,-111.8383338,40.71536018
7006,823,784052.6157,-111.8385848,40.71015402
8077,767,4879374.437,-111.8208664,40.75708598
8147,0,3419277.054,-111.9347534,40.81365191
8148,0,2448948.739,-112.0528066,40.76727871
8158,690,379041.5192,-111.8896511,40.73756758
8159,1917,755929.937,-111.8853504,40.72948204
8160,1602,760259.5222,-111.885356,40.73756971
8163,0,2664772.364,-111.9548644,40.77794561
8164,4218,1685211.755,-111.9319676,40.76187157
8165,2228,1441417.159,-111.9341933,40.74496628
8167,0,1943402.713,-111.9539563,40.73340217
8178,109,1474255.003,-111.9190717,40.80622724
8179,545,417308.8226,-111.8744206,40.78179025
8180,473,333928.0141,-111.8745705,40.77794138
8181,564,330887.4728,-111.8685887,40.7779306
8182,547,608193.0822,-111.8671673,40.78219762
8183,746,521371.4136,-111.8446856,40.74462143
8184,769,2470663.872,-111.8214099,40.74666511
8185,14,617940.8139,-111.9020033,40.73748145
8186,748,757779.59,-111.8393964,40.73762178
8187,2,623524.6944,-111.9020296,40.72952758
8188,0,371944.0969,-111.8982686,40.72945858
8189,1114,376854.3303,-111.8896458,40.72948299
8190,821,288496.9035,-111.8127566,40.71953501
8192,442,413431.9461,-111.8294335,40.71384743
8321,639,840843.8323,-111.8097917,40.73922042
8368,403,203616.4287,-111.8739325,40.76392336
8369,727,203628.6608,-111.8739329,40.76609833
8370,1309,760920.1523,-111.8624795,40.73757603
8371,929,573732.9382,-111.8624791,40.73044781
8372,1497,759735.4595,-111.8682144,40.72946573
8373,869,183475.5198,-111.8624796,40.72640378
8374,1631,304816.1175,-111.868232,40.7238105
8462,0,17065665.84,-111.9855749,40.80256387
8463,2018,8560891.175,-111.8635351,40.79080512
8464,527,11614595.95,-111.8419067,40.79518577
8481,0,8765824.721,-111.9863504,40.82049688
8485,0,5363480.075,-112.0817746,40.82354376
8532,0,3817632.597,-112.0919643,40.77717607
8533,0,4205648.774,-112.0619854,40.77705121
8534,0,7230210.11,-112.0760282,40.79836334
8535,0,3705692.961,-112.0737426,40.75805576
8539,6939,3546634.862,-111.9443073,40.79547138
8540,1682,1358523.575,-111.9311788,40.7949122
8541,3177,1371307.12,-111.9441821,40.77570634
8542,351,202334.5212,-111.9182772,40.77370271
8543,0,4468230.282,-112.0153567,40.73309361
8544,0,4601603.509,-111.9966576,40.73358921
8545,1,1469716.674,-111.9336116,40.72810214
8546,0,608141.5909,-111.9273787,40.73083476
8555,566,526324.9502,-111.9078758,40.77915459
8556,397,325362.2197,-111.9011694,40.78589571
8557,863,760975.1912,-111.8336345,40.73762429
8559,1451,1035049.237,-111.8607982,40.71603857
8624,2164,764581.1721,-111.8853619,40.74570489
8633,692,25589141.54,-111.8740152,40.81011919
8665,0,3724458.807,-112.0162419,40.79215107
8666,0,5806465.043,-112.0381264,40.77727768
8673,972,9278995.491,-111.9577745,40.82771938
8674,4,3141816.719,-112.0189484,40.7603226
8675,0,4642527.096,-111.9792364,40.73384999
8676,4,4446065.788,-111.9733615,40.7592615
8677,7,2674999.12,-111.9445941,40.75894651
8682,698,723255.0337,-111.8133439,40.72893003
