index,value,row,col
"(11, 58)",24000,11,58
"(11, 59)",9600,11,59
"(12, 0)",35500,12,0
"(12, 12)",18500,12,12
"(12, 20)",24000,12,20
"(12, 26)",125500,12,26
"(12, 31)",136000,12,31
"(12, 33)",24500,12,33
"(12, 36)",3600,12,36
"(12, 37)",32500,12,37
"(12, 39)",113800,12,39
"(12, 42)",16000,12,42
"(12, 43)",204200,12,43
"(12, 44)",4500,12,44
"(12, 45)",78900,12,45
"(12, 46)",106500,12,46
"(12, 47)",158700,12,47
"(12, 48)",101900,12,48
"(12, 49)",50300,12,49
"(12, 50)",46800,12,50
"(12, 51)",104000,12,51
"(12, 52)",27500,12,52
"(12, 53)",19000,12,53
"(12, 54)",44500,12,54
"(12, 55)",21500,12,55
"(12, 58)",35500,12,58
"(13, 15)",63500,13,15
"(13, 18)",65500,13,18
"(13, 22)",108000,13,22
"(13, 36)",21000,13,36
"(13, 37)",34500,13,37
"(13, 39)",23000,13,39
"(13, 42)",13000,13,42
"(13, 43)",32000,13,43
"(13, 44)",33000,13,44
"(13, 45)",114300,13,45
"(13, 46)",116500,13,46
"(13, 47)",176300,13,47
"(13, 48)",99400,13,48
"(13, 49)",51000,13,49
"(13, 50)",64600,13,50
"(13, 51)",66300,13,51
"(13, 52)",9600,13,52
"(13, 53)",22100,13,53
"(13, 54)",18300,13,54
"(13, 55)",18400,13,55
"(13, 56)",18500,13,56
"(13, 57)",28000,13,57
"(13, 58)",1400,13,58
"(14, 12)",28500,14,12
"(14, 20)",27500,14,20
"(14, 22)",10500,14,22
"(14, 24)",25500,14,24
"(14, 28)",25500,14,28
"(14, 34)",12500,14,34
"(14, 35)",133000,14,35
"(14, 41)",2200,14,41
"(14, 42)",9600,14,42
"(14, 43)",204400,14,43
"(14, 45)",41900,14,45
"(14, 47)",50000,14,47
"(14, 48)",16900,14,48
"(14, 49)",11400,14,49
"(14, 50)",13800,14,50
"(14, 51)",9200,14,51
"(14, 53)",3200,14,53
"(14, 55)",9300,14,55
"(14, 57)",13000,14,57
"(15, 20)",11500,15,20
"(15, 22)",4400,15,22
"(15, 24)",8300,15,24
"(15, 37)",28000,15,37
"(15, 40)",2600,15,40
"(15, 41)",23000,15,41
"(15, 42)",31700,15,42
"(15, 44)",22000,15,44
"(15, 45)",54000,15,45
"(15, 47)",18000,15,47
"(15, 49)",6900,15,49
"(15, 50)",7500,15,50
"(15, 51)",4200,15,51
"(15, 53)",4200,15,53
"(16, 35)",19500,16,35
"(16, 36)",22000,16,36
"(16, 39)",24000,16,39
"(16, 40)",5000,16,40
"(16, 42)",14500,16,42
"(16, 45)",21100,16,45
"(16, 46)",17000,16,46
"(17, 37)",23000,17,37
"(17, 39)",12000,17,39
"(17, 41)",12000,17,41
"(17, 42)",167500,17,42
"(17, 44)",6800,17,44
"(17, 45)",25500,17,45
"(18, 34)",12500,18,34
"(19, 35)",118000,19,35
"(19, 37)",16000,19,37
"(19, 41)",169500,19,41
"(20, 36)",2300,20,36
"(20, 42)",25000,20,42
"(21, 28)",2300,21,28
"(21, 34)",9100,21,34
"(21, 37)",15500,21,37
"(22, 31)",5400,22,31
"(22, 35)",24000,22,35
"(22, 36)",0,22,36
"(22, 39)",7300,22,39
"(22, 41)",186600,22,41
"(23, 35)",105500,23,35
"(23, 41)",100,23,41
"(24, 34)",2800,24,34
"(24, 38)",17500,24,38
"(25, 37)",23000,25,37
"(25, 42)",232000,25,42
"(26, 36)",68500,25,36
