F2040,lon,lat
3800,-111.9011155,40.76935002
24500,-111.9602518,40.76727769
9300,-111.8523332,40.77053252
28500,-111.8882384,40.77045431
30500,-111.8896727,40.77155353
6900,-111.8715686,40.77053007
1600,-111.8581831,40.77169818
28000,-111.8939688,40.7704533
30500,-111.8925391,40.77155392
14500,-111.8968274,40.77045364
32000,-111.8953984,40.77155474
199500,-111.9104354,40.77565354
11000,-111.8775771,40.7705318
3000,-111.8745709,40.77170584
20000,-111.8996866,40.77045165
32000,-111.8982576,40.77155324
2900,-111.8820586,40.77053144
8100,-111.8798161,40.77170672
33000,-111.9053565,40.77149248
16500,-111.9025458,40.7704496
30000,-111.9011168,40.77155122
23500,-111.8876933,40.77161716
13000,-111.9168432,40.76822691
32000,-111.9125066,40.77144755
12000,-111.8846066,40.77170792
34500,-111.9392009,40.76877305
23000,-111.928061,40.77143626
21000,-111.9463467,40.77127304
24000,-112.0250352,40.7665537
125500,-111.9964157,40.76665557
108000,-112.0154706,40.77070975
9100,-111.8522514,40.77224006
13000,-111.8420997,40.77239197
18500,-111.8464549,40.76993136
15000,-111.838911,40.77018058
6500,-111.8715674,40.77227095
3200,-111.8581843,40.77282554
10500,-111.877574,40.77227498
3300,-111.8745704,40.77284226
13000,-111.8389603,40.77289393
1400,-111.8340811,40.77005266
6800,-111.882059,40.77227682
4600,-111.8798169,40.77284479
12000,-111.8851299,40.77270747
35500,-112.1277942,40.76636931
63500,-112.051888,40.77088016
28000,-111.9393529,40.77809171
12000,-111.9025479,40.77365255
17000,-111.888224,40.77375232
25500,-111.8996887,40.77370956
4400,-111.9011143,40.7757815
16000,-111.8911114,40.77481917
17000,-111.8896512,40.77597295
4900,-111.9096943,40.77586359
9600,-111.9168474,40.77366297
25500,-112.0057693,40.77307816
27500,-112.0250654,40.77365412
10500,-112.0154039,40.77640184
14500,-111.8904793,40.77795046
4900,-111.8863729,40.77750836
3500,-111.8878024,40.7799418
6500,-111.8715673,40.77509468
4200,-111.8715675,40.77962322
9300,-111.8522534,40.77552232
4200,-111.861722,40.78068181
10500,-111.8775743,40.77511431
4000,-111.8775746,40.7796478
3500,-111.8745702,40.78190464
6800,-111.8820593,40.7751025
3200,-111.8820585,40.77964078
3700,-111.8797965,40.78191464
8300,-112.0057658,40.77889326
11500,-112.0250649,40.77885811
4400,-112.0154272,40.78135197
23000,-111.8996913,40.77912995
12500,-111.9025508,40.77907294
18500,-111.9011235,40.7823911
22000,-111.9065746,40.78239337
22000,-111.9137249,40.7823835
9700,-111.9168513,40.77912685
2200,-111.9211401,40.7758628
2600,-111.9254345,40.77912231
23000,-111.9211652,40.78238551
24000,-111.9325807,40.78315224
133000,-111.9492063,40.77505427
22000,-111.9441805,40.78475271
12500,-111.9535372,40.77743887
19500,-111.9512658,40.78476842
5100,-111.8066185,40.75116063
4800,-111.8208768,40.75079163
25500,-111.9858149,40.77634028
9100,-111.9024149,40.78646506
6800,-111.9038274,40.788915
12000,-111.8996949,40.78461859
14500,-111.9168566,40.78673673
5000,-111.9255251,40.78672951
12000,-111.9211958,40.79108393
23000,-111.9393225,40.78791069
12000,-111.9323735,40.79107733
13000,-111.9022287,40.79206642
17000,-111.8962516,40.78722421
16000,-111.939166,40.79837026
118000,-111.949096,40.79894275
2300,-111.9463448,40.80566704
12500,-111.9535747,40.79522166
9100,-111.9535732,40.80936901
24000,-111.9513315,40.81309066
2300,-111.9870821,40.80802737
5400,-111.9701974,40.81301901
167500,-111.9140261,40.78844828
170500,-111.9227194,40.81304679
169500,-111.9207683,40.80215153
7300,-111.9205659,40.81366211
7300,-111.929934,40.81676422
0,-111.9436462,40.81486672
15500,-111.9387272,40.81122099
100,-111.9216182,40.81931493
105500,-111.9487799,40.82051022
23000,-111.9424409,40.83176108
17500,-111.9374334,40.82535732
203000,-111.9161409,40.82846002
25000,-111.9139274,40.80535807
29000,-111.9151718,40.82786294
2800,-111.953799,40.82752644
22500,-111.8242676,40.70675199
23500,-111.8552968,40.70671329
22000,-111.8527049,40.70531744
5100,-111.8167209,40.70777532
13000,-111.8340923,40.70629797
2800,-111.8282862,40.71246225
8100,-111.8388891,40.71271229
4800,-111.8435944,40.70633236
27500,-111.8538297,40.71161967
13500,-111.8485767,40.71270136
12500,-111.8550415,40.71170059
9300,-111.854444,40.7126936
11500,-111.8654629,40.7062872
10500,-111.8604143,40.71268642
45500,-111.8712916,40.70627934
12000,-111.8682865,40.7126773
6700,-111.876903,40.70627011
11500,-111.8740229,40.71266804
12500,-111.8797569,40.71265734
30000,-111.8112492,40.71276991
14000,-111.8339085,40.71604913
123000,-111.8377862,40.71708354
99500,-111.8208773,40.71259
18500,-111.899702,40.71901527
7500,-111.8768468,40.71904884
164000,-111.8797384,40.71820451
9200,-111.893983,40.71904614
12500,-111.8911197,40.719049
7800,-111.8420819,40.71811317
40500,-111.8711842,40.71564755
148000,-111.8624802,40.71932402
10500,-111.8653725,40.71905296
34500,-111.8535209,40.71613278
12000,-111.8573937,40.71909713
5200,-111.8378893,40.72133345
13000,-111.8137322,40.71854082
10500,-111.8311933,40.72145415
16500,-111.827683,40.725468
20500,-111.833669,40.72550446
6400,-111.8420102,40.72450765
61500,-111.8537025,40.72248894
23500,-111.8393945,40.72550944
25000,-111.8567291,40.72541853
30000,-111.8624794,40.7254239
10500,-111.8250344,40.72938529
44000,-111.8095911,40.71839202
56500,-111.8711642,40.72202453
37000,-111.8682248,40.72542713
23500,-111.8739578,40.72543329
13000,-111.8198514,40.72584495
25000,-111.8796849,40.72544404
40000,-111.8882408,40.72181577
24500,-111.8853942,40.72544506
30000,-111.8896643,40.72545272
